UFID,x,y
100037709001B001182867ff39d2648d1,127.0008401480,37.4981234382
100037709001B0011c544075bf63e4c64,127.0011332365,37.4976896338
100037709001B0011655d81adfcc644b8,127.0009622758,37.4976102661
100037709001B00111956eac111254170,127.0014857669,37.4978464179
100037709001B0011d85b33c619d14495,127.0014622110,37.4980317434
100037709001B00119765eb37987b4f4a,127.0012869538,37.4977767843
100037709001B0011e8be4980e87442a4,127.0015486534,37.4976220258
100037709001B00110ddbb5acc71c46bb,127.0000318027,37.4935499475
100037709001B0011b25cddafd01b4859,127.0000820436,37.4945130579
100037709001B00118cf6005a65344e1d,127.0001639929,37.4948959737
100037709001B0011046d8c0e99664382,127.0000422483,37.4943061944
100037709001B0011600be6c708444467,127.0006969099,37.4974497769
100037709001B0011e0d3cedcb13d4991,127.0001648305,37.4933997300
100037709001B0011b041f283c0574c9a,127.0006779339,37.4979823524
100037709001B00114c35ea3604a84150,127.0006890239,37.4976184094
100037709001B00117390c04c72704bba,127.0016271109,37.4967736000
100037709001B001135225bc9e8af46a8,127.0007580363,37.4966408448
100037709001B0011bbede809b0aa477a,127.0005482792,37.4969178672
100037709001B0011c10069acc9044dcf,127.0007119126,37.4967825551
100037709001B0011f73874cb5f7d4dd2,127.0009497746,37.4969351604
100037709001B00114a73e9ddc5234f9e,127.0015194622,37.4970123551
100037709001B0011a006d3faec294d0d,127.0007458671,37.4962256525
100037709001B00119d2920bddb99467d,127.0008717985,37.4970409559
100037709001B0011fb110f0495304287,127.0014269178,37.4962443173
100037709001B0011f4ee16334dce4b31,127.0018267880,37.4961761312
100037709001B001165a517eceae84520,127.0007455714,37.4963848706
100037709001B0011283c9c42607d4d46,127.0016891833,37.4963498614
100037709001B0011bad30cf9e0224e97,127.0011878429,37.4964243027
100037709001B00110279cfbeec3c4909,127.0013610271,37.4964347557
100037709001B0011e253d12867394cb2,127.0014257778,37.4966578067
100037709001B00116edcffe4606b4d39,127.0015832402,37.4965005067
100037709001B0011a643b6ffc97f459c,127.0002799213,37.4963378234
100037709001B001182478b7c0de04ad8,127.0002345105,37.4971868256
100037709001B0011cfd875b5779d423a,127.0010332968,37.4972256632
100037709001B0011ca2237f36d314abb,127.0002056940,37.4969752139
100037709001B00112be38c356be2461a,127.0019925158,37.4990186588
100037709001B00113a4101764f5f496d,127.0018177654,37.4989041232
100037709001B0011c1c17500f91240bc,127.0013698630,37.4949758440
100037709001B00117f42d950583f428e,127.0003483219,37.4949600972
100037709001B001126b008710b1c4dfc,127.0009248056,37.4963241187
100037709001B00117df87708355b4dfa,127.0009991096,37.4967708200
100037709001B00112d69eb4bcd5e4cdf,127.0005394360,37.4963584778
100037709001B00113dc1d936f5f04839,127.0007857295,37.4971388590
100037709001B001182dcd635d4fa455d,127.0010137697,37.4961934815
100037709001B00118e1afaa718b64d55,127.0010803158,37.4965615421
100037709001B0011f45fc59456f3439d,127.0008268799,37.4968770028
100037709001B0011ba1abc65961d474a,127.0007403332,37.4969795088
100037709001B0011b80551b2936f401d,127.0015757157,37.4960710905
100037709001B001107be955abd954229,127.0010783724,37.4960135505
100037709001B00119a588ff3595b4f44,127.0004102702,37.4954360396
100037709001B0011e8335ce806f34e5a,127.0003799941,37.4951898733
100037709001B001109c9ab3f9dd543cb,127.0004927147,37.4960833703
100037709001B00110057973a4cfe45c3,127.0004586328,37.4958725904
100037709001B0011d6568a01bfac4e0f,127.0005677782,37.4937704184
100037709001B00111ebf296ec7b64284,127.0004329812,37.4956528521
100037709001B0011e8b4747c9b7b4b74,127.0011908989,37.4951072943
100037709001B0011cc05e3ada9b44eb7,127.0009977859,37.4950049493
100037709001B0011cf206007767e4016,127.0001480130,37.4956401765
100037709001B001134b1f51c7c8e4050,127.0010006084,37.4952074654
100037709001B001163d2485f2a664c79,127.0008631879,37.4958295279
100037709001B00113b6c70893d0e4250,127.0008233093,37.4955675764
100037709001B00113b642d6061524f9b,127.0012927335,37.4960122087
100037709001B00114d5b40ea3e0748f3,127.0014126798,37.4958193002
100037709001B001100154af8047d404a,127.0013144811,37.4940028067
100037709001B0011d01955dcc1984923,127.0012540044,37.4941270181
100037709001B00112d2202ed67c04f7b,127.0014173583,37.4939586915
100037709001B0011d608704c4a8d45d5,127.0013998565,37.4941363353
100037709001B00115277e5aba93e4c63,127.0007262041,37.4935119687
100037709001B00111615a23f7f284d15,127.0004093701,37.4941454838
100037709001B0011a27d52b9e04a4f81,127.0005496516,37.4942911570
100037709001B0011b78aea313dce4909,127.0005819872,37.4933528423
100037709001B0011ac120e40b9864a1a,127.0007369504,37.4938353632
100037709001B00115b51189bb017491b,127.0006088720,37.4939982732
100037709001B00112bbb32c567454e0a,127.0012360033,37.4944578797
100037709001B00112cea0fb53b8f4bf7,127.0009717347,37.4941227429
100037709001B0011246845fd8d724118,127.0011559193,37.4938657276
100037709001B0011b0753f1dcdd948ab,127.0011475235,37.4936345292
100037709001B00115cc77d79a2384fc4,127.0012388883,37.4937467326
100037709001B0011c860fa7e59bc4a30,127.0011844441,37.4942416487
100037709001B001181d7407849e04961,127.0019385206,37.4947986028
100037709001B0011c548fd51dd194a12,127.0013521377,37.4948138341
100037709001B0011d5d5043f181c4958,127.0016377515,37.4979444336
100037709001B00114e58c6cec52a4f51,127.0003543912,37.4948206529
100037709001B0011a82506a0761c4b3b,127.0018541861,37.4983130753
100037709001B0011a6eadaee35194ebc,127.0018270391,37.4986502948
100037709001B00113112b672eaa2473c,127.0018456863,37.4980274926
100037709001B0011cf7945738eca4aa8,127.0018640738,37.4981963419
100037709001B001136b9c16cc2b84e6c,127.0002292298,37.4942238500
100037709001B0011944c23f15f884df4,127.0004848436,37.4939072436
100037709001B0011021caae8dd1f4d9b,127.0006854050,37.4944077510
100037709001B001125f07430be484d54,127.0003752489,37.4936475726
100037709001B0011846c4b8b5222431f,127.0003360950,37.4945937401
100037709001B00119f00d78b14c84fa5,127.0005082413,37.4945217489
100037709001B0011793fcbe450cc4f44,127.0017220481,37.4947607609
100037709001B00111d4bd4e8844547c5,127.0020952602,37.4946433877
100037709001B0011734c2c7cb73e489e,127.0020541531,37.4938531168
100037709001B00116c824c16f7c647f8,127.0019505643,37.4940630816
100037709001B0011904f420a325b4743,127.0021959703,37.4944589702
100037709001B001154c5389f97574c25,127.0021624144,37.4940620981
100037612010B00115c6dcf50485e423f,126.9990277455,37.4950885668
100037709001B0011efdc240d11b54f55,127.0022210307,37.4942548471
100037612010B00114cc0ff52fb164eff,126.9934932427,37.4962587459
100037612010B00118f0ead40d71d4660,126.9969216832,37.4946980695
100037709001B0011af20920aca7c47da,127.0015801387,37.4938546033
100037709001B00116acf928fa7d24d11,127.0016220933,37.4981008761
100037709001B00112d46ffa2c0bc4714,127.0017219021,37.4943078373
100037709001B001115248281904b4cb2,127.0016181281,37.4940606773
100037709001B00114d59df7dd4ed4d4b,127.0017734468,37.4940814974
100037709001B0011272dd6fdbca9460a,127.0017231452,37.4939194475
100037709001B0011b824e7e6e5c74a8a,127.0018710625,37.4939065733
100037709001B001164184d8e83e449b5,127.0018633450,37.4944867900
100037612010B0011f999424fcc074a5a,126.9983503006,37.4996661309
100037608100B0011a376bb7414c4427f,126.9991963104,37.5001598774
100037709001B0011f12483aeb6d141cf,127.0006833349,37.4982670254
100037709001B0011d52ad1283b564b43,127.0000895917,37.4983536219
100037709001B00114edab878eb29458d,127.0007058415,37.4947954066
100037709001B0011cba2c873f9244843,127.0009522900,37.4935149314
100037612010B00111b21983fd74c404e,126.9997207495,37.4956977548
100037612010B0011a2ced37576fe4eaf,126.9999212619,37.4988852834
100037612010B0011ae8414fafa48412b,126.9946775208,37.4972148878
100037612010B0011c5df8fe0e7a4410b,126.9996857944,37.4953809027
100037612010B0011404454520ba24c32,126.9934513535,37.4975273359
100037612010B00117fd8d33f2217478d,126.9939613857,37.4975071142
100037709001B0011f0267cf4b29f4b34,127.0012619432,37.4974727833
100037709001B00110a127eaae9f44d14,127.0011802623,37.4980402460
100037709001B00117d5aec42f610474c,127.0014480819,37.4972513981
100037709001B00119e45fc8b90e54c42,127.0003391637,37.4966088441
100037709001B00115421d70c5a614a1f,127.0011775625,37.4957574935
100037709001B00114aea9a988fd945e3,127.0017324433,37.4950465998
100037709001B0011fd09ca703cc747bb,127.0008364000,37.4936730734
100037709001B00113fec23ea3eec42af,127.0002440920,37.4961117163
100037612010B0011bfe7e5c0068c4889,126.9996961584,37.4946251763
100037612010B0011a24fc9c702ae4b64,126.9988894758,37.4977052449
100037612010B0011c02004da119c4e76,126.9982495986,37.4990592837
100037612010B0011630d177ef8184c5c,126.9960126299,37.4988165650
100037612010B001166f79e24437a4faf,126.9982018446,37.4987602356
100037612010B0011ea70c593fe224b29,126.9981594636,37.4991476189
100037612010B00111436e499f9ff40dd,126.9981818794,37.4951119341
100037612010B0011866e57c7af77459a,126.9983536897,37.4997778339
100037612010B0011e49cdf870bf94f4d,126.9994636325,37.4996297199
100037612010B0011dddea0409849415e,126.9989977816,37.4990806843
100037612010B001150bfbe90a2cb4294,126.9987732367,37.4987365377
100037612010B0011f2d043b390104751,126.9987664439,37.4990933573
100037612010B00110ec2d18e94ef4720,126.9988443819,37.4975849627
100037612010B001171bd358d53f748d8,126.9989992922,37.4998880214
100037612010B00113455161ee6a24616,126.9994470616,37.4976058221
100037612010B0011f95babd462c64452,126.9991943222,37.4976172765
100037612010B0011c81fe05c9d2347ae,126.9964103669,37.4977970807
100037612010B0011adf1ef126fe8455b,126.9962040335,37.4978172330
100037612010B00118e88dc5ed8de41d9,126.9973661916,37.4977741164
100037612010B0011ee3bd54461fc41ae,126.9970892606,37.4977895601
100037612010B0011079bf73602ba4253,126.9985274582,37.4983661548
100037612010B0011f22177b248614fc8,126.9967570214,37.4970361370
100037612010B00117c059e0776ee49ab,126.9985403618,37.4975702413
100037612010B001143cfa17ab93f4bb6,126.9985762680,37.4989163243
100037612010B0011f0ff58c8628d419c,126.9977988650,37.4979558427
100037612010B0011bf64eb0b1a934680,126.9978009412,37.4977053160
100037612010B001121ca18a3e3934ba4,126.9977538806,37.4993545462
100037612010B00110a94e8fbe72243ea,126.9979133688,37.4996304673
100037612010B00114371cf22658a45d7,126.9972201199,37.4977751869
100037612010B00118d591943abee4fc5,126.9978089161,37.4970989102
100037612010B0011ca6d0cf9207c4925,126.9975293771,37.4977952487
100037612010B001110b9df53c7534e7b,126.9967160385,37.4969294426
100037612010B0011b5778b35d1d44625,126.9965779351,37.4988797754
100037612010B00113ef68ab962144798,126.9971965697,37.4986588151
100037612010B001160f3f5d8be094589,126.9969024098,37.4986271983
100037612010B0011e995075bdab44221,126.9968184017,37.4981101404
100037612010B00112a7f1ac70d7c444b,126.9976263296,37.4989657306
100037612010B001164f749c63a164ec8,126.9972838253,37.4989825228
100037612010B001183481a13b9484ffa,126.9962170645,37.4980240738
100037612010B0011c80d6d7679624e2e,126.9971432235,37.4980676614
100037612010B0011b20e3bf4bec14a9c,126.9984699097,37.4970825659
100037612010B0011cc74738afa04413b,126.9985066443,37.4973458742
100037612010B0011437418dbf271478c,126.9983760188,37.4962025664
100037612010B00119994e50e4f23434f,126.9983970843,37.4964066622
100037612010B0011fe57819bfb8c466c,126.9984713315,37.4995625337
100037612010B0011baa705a6fd17488f,126.9985620863,37.4990183752
100037612010B00112dcc70691cf2488a,126.9970091594,37.4951289222
100037612010B0011aedac073c2de4ec4,126.9985172760,37.4974549755
100037612010B001174c77889ba3647af,126.9974037361,37.4993998751
100037612010B001165371cbc112e4e0e,126.9968646211,37.4992213441
100037612010B001152b2f580eb554d78,126.9980964853,37.4993761823
100037612010B00110aa2c5c7b7eb436b,126.9980469074,37.4989291887
100037612010B001127286514e8684cab,126.9979333364,37.4979599429
100037612010B001126d6e9db925342fd,126.9979773315,37.4981452793
100037612010B0011a580a68248de49eb,126.9980990967,37.4973200191
100037612010B001159fd4d211a2e44ba,126.9979481037,37.4977103952
100037612010B001165f2c8e76ef344e6,126.9975986611,37.4985024957
100037612010B0011ba6f1ac264c3423f,126.9973585065,37.4988316463
100037612010B001190eb25def09d4659,126.9969105827,37.4990888173
100037612010B001114dbe81f08f449a0,126.9969595279,37.4989429781
100037612010B0011656c28b72e4c4c92,126.9968792801,37.4979797904
100037612010B0011733da95cc2884d74,126.9975551423,37.4979743742
100037612010B001181ddf9b3b8864ab8,126.9961907648,37.4988578070
100037612010B00111280b290d6294b7b,126.9972054030,37.4988315112
100037612010B001107ac3e61bc384c4a,126.9976472039,37.4987970946
100037612010B00111f3638dbf86c4f12,126.9980024549,37.4964486793
100037612010B001139e1bbddc4684e4a,126.9948247685,37.4979840123
100037612010B00112d1216b99a44445a,126.9915545407,37.4974757878
100037612010B0011ae66861108834c22,126.9935030498,37.4978890644
100037612010B001144027afa1eff4a35,126.9915795799,37.4977161772
100037612010B0011f500065deb684f3d,126.9934853323,37.4980472245
100037612010B001105883be2e366447c,126.9951236772,37.4981606510
100037612010B00113e3c93217c7f4825,126.9981445221,37.4974627132
100037612010B001169667f3c85444faf,126.9980985449,37.4971054695
100037612010B0011a6500aebc55446a7,126.9981355514,37.4977269090
100037612010B0011328ee27b34994a8d,126.9981444735,37.4975964825
100037612010B0011fe822b669bf34e82,126.9980530904,37.4968566988
100037612010B00118a586111e88c4e1d,126.9980229198,37.4966765309
100037612010B00118dbf855ddc34468f,126.9978870292,37.4987883182
100037612010B001117d3af64e5db4d07,126.9979086459,37.4989350827
100037612010B001120dfb4879dcf44ca,126.9956646836,37.4982542472
100037612010B0011881ef78573b84551,126.9944603522,37.4977509262
100037612010B001191c4add91de44385,126.9956370579,37.4983937736
